Part ID,Value,Package,Layer,Rotation,X,Y
ESP1,ESP-12E,NODE MCU V3 LOLIN,TOP,270,92.3201,63.85
NODEMCU,CONN-H15,SIL-100-15,TOP,180,92.36,72.3999
LCD,CONN-H4,CONN-SIL4,TOP,90,59.6001,74.5899
12V,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,52.6943
5V,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,63.4944
3.3V,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,74.2942
RELES,,TBLOCK-M6,TOP,270,115.3,32.7071
RELAY1,12 Vcc. 10 Amp,117211503,TOP,0,90.7001,37.4
RELAY2,12 Vcc. 10 Amp,117211503,TOP,0,70.3999,37.4
RELAY3,12 Vcc. 10 Amp,117211503,TOP,0,70.3999,21.7
U10,DS3231SN,SOIC127P1032X265-16N,TOP,0,82.41,61.4251
U18,AT24C512B,SO8,TOP,90,104.665,60.2966
ULN2803,ULN2803,SOP18,BOT,0,81.3196,61.4799
Q10,2SJ280,DPAK-N,BOT,-90,52.7431,25.5001
U9,PC817XI1J,PC817XI1J,BOT,-90,49.53,37.2999
U6,PC817XI1J,PC817XI1J,TOP,0,29.2001,58.53
R19,220,0603_RES,TOP,0,13.1636,44.1963
R20,220,0603_RES,TOP,0,13.1364,39.1963
R17,220,0603_RES,TOP,0,13.2636,34.1963
R18,220,0603_RES,TOP,0,13.3636,29.1963
R8,10K,0603_RES,TOP,180,13.1636,42.8963
R29,4.7K,0603_RES,TOP,180,13.1364,37.7962
R38,4.7K,0603_RES,TOP,180,13.2364,32.9961
R43,4.7K,0603_RES,TOP,180,13.3364,27.8963
U4,PC817XI1J,PC817XI1J,TOP,0,29.2001,51.1
U3,PC817XI1J,PC817XI1J,TOP,0,29.1,44.4
U14,PC817XI1J,PC817XI1J,TOP,0,29.1,37.2001
C9,100nF,0603_CAP,TOP,90,38.4,44.3365
C10,100nF,0603_CAP,TOP,90,38.5001,37.3365
C11,100nF,0603_CAP,TOP,90,38.2999,48.5364
C12,100nF,0603_CAP,TOP,90,38.5001,40.7365
U1,74HC14,DIL14,TOP,0,25.38,67.4901
