Part ID,Value,Package,Part ID,Layer,Rotation,X,Y
LCD,CONN-H4,CONN-SIL4,LCD,TOP,0,63.1701,77.7999
12V,TBLOCK-M2,TBLOCK-M2,12V,TOP,90,6.70001,63.598
3.3V,TBLOCK-M2,TBLOCK-M2,3.3V,TOP,90,6.70001,74.2942
RELAY1,12 Vcc. 10 Amp,117211503,RELAY1,TOP,0,90.7001,35.1
RELAY2,12 Vcc. 10 Amp,117211503,RELAY2,TOP,0,70.3999,35.1
RELAY3,12 Vcc. 10 Amp,117211503,RELAY3,TOP,0,70.3999,19.4
U10,DS3231SN,SOIC127P1032X265-16N,U10,TOP,0,83.8101,61.625
U18,AT24C512B,SO8,U18,TOP,90,104.665,60.4964
U6,PC817X3CSP9F,PC817XI1J,U6,TOP,0,26.4,48.4299
R19,220,0603_RES,R19,TOP,0,15.6636,49.6999
C11,100nF,0603_CAP,C11,TOP,90,37.1,48.8363
U1,74HC14,DIL14,U1,TOP,0,24.28,66.09
L01,LED smd 0603,LEDC1608X60,L01,TOP,180,15.4,47.6001
R25,680,0603_RES,R25,TOP,-180,33.0365,77.7999
R1,10k,0603_RES,R1,TOP,0,97.5365,68.0001
C6,100nF,0603_CAP,C6,TOP,0,33.1363,72.9
R24,4.7K,0603_RES,R24,TOP,180,94.2363,54.5
R23,4.7K,0603_RES,R23,TOP,180,94.2363,57.3999
R21,4.7K,0603_RES,R21,TOP,0,103.836,68.0001
R22,4.7K,0603_RES,R22,TOP,0,100.664,68.0001
R84,470,0603_RES,R84,TOP,0,107.264,68.0999
D33,1N4148W,SOD123,D33,TOP,180,94.4999,60.3001
Q01,LED smd 0603,LEDC2012X120,Q01,TOP,0,107.2,32.7
Q02,LED smd 0603,LEDC2012X120,Q02,TOP,0,107.2,37.7
Q03,LED smd 0603,LEDC2012X120,Q03,TOP,0,107.2,42.6999
U7,TS78M05CP,TS78M05CP,U7,TOP,180,21.2,6.84751
U11,LM2576-3,3,TO170P1410X464-6,U11,TOP,180,44.5722,22.9
F1,1A,FUSE SMD,F1,TOP,0,14.1748,10.6
C21,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V,C21,TOP,90,27.1501,21.6
C5,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C5,TOP,90,26.4,40.4
C22,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C22,TOP,270,19,76.2
C26,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C26,TOP,90,26.4701,31.7101
BAT1,3V,BAT 3V EG,BAT1,TOP,270,44.75,55.9999
U5,MC7812BDTRKG,MC7812BDTRKG,U5,TOP,90,35.72,7.40999
PW,LED-RED,LEDC2012X120,PW,TOP,90,12.8,14.5
L,100uh,SMD 12.5X12.5X5MM,L,TOP,180,41.45,37.3499
D29,SS36A,DIOM5226X230N,D29,TOP,-180,45.5501,12.9
D28,SS36A,DIOM5226X230N,D28,TOP,0,14.75,19.9
C23,100nF,0603_CAP,C23,TOP,0,17.526,22.7684
C35,100nF,0603_CAP,C35,TOP,180,33.0365,75.6001
R6,1K,0603_RES,R6,TOP,90,79.5,2.7636
R44,1K,0603_RES,R44,TOP,90,82.6,6.16359
R64,1k,0603_RES,R64,TOP,270,79.5,6.03641
TBLOCK-M2,TBLOCK-M2,TBLOCK-M2,TBLOCK-M2,TOP,90,6.70001,17.1981
RST,BOTON 90 TH,118250272,RST,TOP,0,48.9501,5.66001
WI-FI,BOTON 90 TH,118250272,WI-FI,TOP,0,60.7101,5.66999
DEEP-SLEEP,Boton SMD,BUTTON SMD,DEEP-SLEEP,TOP,90,72.4901,4.46001
LED-MQTT,TBLOCK-M2,TBLOCK-M2,LED-MQTT,TOP,0,52.2018,76.0001
LED-WI-FI,TBLOCK-M2,TBLOCK-M2,LED-WI-FI,TOP,0,40.9981,76.0001
DA,1N4148W,SOD123,DA,TOP,0,14.4,5.19999
D01,1n4007 Smd Do-214,DO214,D01,TOP,0,116.392,66.2
D02,1n4007 Smd Do-214,DO214,D02,TOP,0,116.392,62.2
D03,1n4007 Smd Do-214,DO214,D03,TOP,0,116.392,58.2
C34,10uF,1206_CAP,C34,TOP,0,94.4253,63.0999
R5,1K,0603_RES,R5,TOP,0,58.8363,39.6001
R13,4.7K,0603_RES,R13,TOP,0,81.5637,53.2
R14,4.7K,0603_RES,R14,TOP,180,77.8365,53.2
R15,4.7K,0603_RES,R15,TOP,90,82.6,2.83639
R16,4.7K,0603_RES,R16,TOP,180,84.7636,53.2
R33,330,0603_RES,R33,TOP,0,70.7337,67.88
R34,330,0603_RES,R34,TOP,0,67.6364,68.0001
SALIDAS,TBLOCK-M3,TBLOCK-M3,SALIDAS,TOP,270,115.7,37.8
ESPA,B2200S16PA120,CON16_1X16_U_FCI,ESPA,TOP,180,93.55,77.9
NODEMCU,B2200S16PA120,CON16_1X16_U_FCI,NODEMCU,TOP,180,93.57,72.6001
JP1,SIP-3_2.5x7.62x2.54P,CONN-SIL3,JP1,TOP,0,26.1,55.3001
R9,10k,0603_RES,R9,TOP,90,26.4,76.1637
U2,ULN2803AFW,ULN2803AFW,U2,TOP,-90,68.9051,60.53
USB T. C,USB_TYPE_C_CARGA_EG,USB TYPE C CARGA EG,USB T. C,TOP,270,7.97999,5.69999
ESPB,B2200S16PA120,CON16_1X16_U_FCI,ESPB,TOP,180,93.55,50.2999
J3,TBLOCK-M3,TBLOCK-M3,J3,TOP,90,6.70001,48.1962
J4,TBLOCK-M3,TBLOCK-M3,J4,TOP,90,6.70001,31.7962
COM,TBLOCK-M2,TBLOCK-M2,COM,TOP,270,115.7,23.9019
R2,1k,0603_RES,R2,TOP,0,55.0365,24.6
C1,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C1,TOP,90,53.9999,31.9001
C2,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,C2,TOP,90,17,27.9001
U3,LD1117S33,SOT230P700X180-4,U3,TOP,90,17.7,56.9001
R3,10,0603_RES,R3,TOP,90,85.5,2.63639
