<<<<<<< HEAD
Category,Quantity,References,LCSC Part #,Value,Footprint
Capacitors,4,"C1,C2,C5,C26",C96175,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,4,"C6,C11,C23,C35",C307478,100nF,0603_CAP
Capacitors,1,C21,C2836436,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,1,C22,C250030,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,1,C34,C304002,10uF,1206_CAP
Resistors,2,"R1,R9",C73809,10k,0603_RES
Resistors,1,R2,C73809,1k,0603_RES
Resistors,3,"R5,R6,R44",C269704,1K,0603_RES
Resistors,8,"R13,R14,R15,R16,R21,R22,R23,R24",C23162,4.7K,0603_RES
Resistors,1,R19,C22962,220,0603_RES
Resistors,1,R25,C23228,680,0603_RES
Resistors,2,"R33,R34",C351654,330,0603_RES
Resistors,1,R64,C269704,1k,0603_RES
Resistors,1,R84,C328426,470,0603_RES
Integrated Circuits,1,U1,C507186,74HC14,DIL14
Integrated Circuits,1,U2,C2690548,ULN2803AFW,ULN2803AFW
Integrated Circuits,1,U3,C86781,LD1117S33,SOT230P700X180-4
Integrated Circuits,1,U5,C126398,MC7812BDTRKG,TO252
Integrated Circuits,1,U6,C41807,PC817X3CSP9F,PC817XI1J
Integrated Circuits,1,U7,C21706,TS78M05CP,TS78M05CP
Integrated Circuits,1,U10,C37663,DS3231SN,SOIC127P1032X265-16N
Integrated Circuits,1,U11,C91093,"LM2576-3,3",TO170P1410X464-6
Integrated Circuits,1,U18,C81193,AT24C512B,SO8
Transistors,3,"Q01,Q02,Q03",C84268,LED smd 0603,LEDC2012X120
Diodes,3,"D01,D02,D03",C727081,1n4007 Smd Do-214,DO214
Diodes,2,"D28,D29",C698867,SS36A,DIOM5226X230N
Diodes,1,D33,C84367,1N4148W,SOD123
Miscellaneous,6,"12V,3.3V,COM,LED-MQTT,LED-WI-FI,TBLOCK-M2",C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,1,BAT1,C964750,3V,BAT 3V EG
Miscellaneous,1,DA,C84367,1N4148W,SOD123
Miscellaneous,1,DEEP-SLEEP,C54948,SW-SMD-2,SW-SMD-2.54X6.0_2P
Miscellaneous,3,"ESPA,ESPB,NODEMCU",C124409,B2200S16PA120,CON16_1X16_U_FCI
Miscellaneous,1,F1,C182308,1A,FUSE SMD
Miscellaneous,1,I2C,C915913,TBLOCK-M4,TBLOCK-M4
Miscellaneous,3,"J3,J4,SALIDAS",C474882,TBLOCK-M3,TBLOCK-M3
Miscellaneous,1,JP1,C49257,SIP-3_2.5x7.62x2.54P,CONN-SIL3
Miscellaneous,1,L,C169389,100uh,SMD 12.5X12.5X5MM
Miscellaneous,1,L01,C84268,LED smd 0603,LEDC1608X60
Miscellaneous,1,LCD,C225501,CONN-H4,CONN-SIL4
Miscellaneous,1,PW,C2286,LED-RED,LEDC2012X120
Miscellaneous,3,"RELAY1,RELAY2,RELAY3",C35449,12 Vcc. 10 Amp,117211503
Miscellaneous,2,"RST,WI-FI",C406158,BOTON 90 TH,118250272
Miscellaneous,1,USBTC,C2689842,USB_TYPE_C_CARGA_EG,USB TYPE C CARGA EG
=======
Category,Quantity,References,LCSC Part #,Value,Footprint
Capacitors,4,"C1,C2,C5,C26",C96175,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,4,"C6,C11,C23,C35",C307478,100nF,0603_CAP
Capacitors,1,C21,C2836436,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V
Capacitors,1,C22,C250030,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V
Capacitors,1,C34,C304002,10uF,1206_CAP
Resistors,2,"R1,R9",C73809,10k,0603_RES
Resistors,1,R2,C73809,1k,0603_RES
Resistors,3,"R5,R6,R44",C269704,1K,0603_RES
Resistors,8,"R13,R14,R15,R16,R21,R22,R23,R24",C23162,4.7K,0603_RES
Resistors,1,R19,C22962,220,0603_RES
Resistors,1,R25,C23228,680,0603_RES
Resistors,2,"R33,R34",C351654,330,0603_RES
Resistors,1,R64,C269704,1k,0603_RES
Resistors,1,R84,C328426,470,0603_RES
Integrated Circuits,1,U1,C507186,74HC14,DIL14
Integrated Circuits,1,U2,C2690548,ULN2803AFW,ULN2803AFW
Integrated Circuits,1,U3,C86781,LD1117S33,SOT230P700X180-4
Integrated Circuits,1,U5,C126398,MC7812BDTRKG,TO252
Integrated Circuits,1,U6,C41807,PC817X3CSP9F,PC817XI1J
Integrated Circuits,1,U7,C21706,TS78M05CP,TS78M05CP
Integrated Circuits,1,U10,C37663,DS3231SN,SOIC127P1032X265-16N
Integrated Circuits,1,U11,C91093,"LM2576-3,3",TO170P1410X464-6
Integrated Circuits,1,U18,C81193,AT24C512B,SO8
Transistors,3,"Q01,Q02,Q03",C84268,LED smd 0603,LEDC2012X120
Diodes,3,"D01,D02,D03",C727081,1n4007 Smd Do-214,DO214
Diodes,2,"D28,D29",C698867,SS36A,DIOM5226X230N
Diodes,1,D33,C84367,1N4148W,SOD123
Miscellaneous,6,"12V,3.3V,COM,LED-MQTT,LED-WI-FI,TBLOCK-M2",C8404,TBLOCK-M2,TBLOCK-M2
Miscellaneous,1,BAT1,C964750,3V,BAT 3V EG
Miscellaneous,1,DA,C84367,1N4148W,SOD123
Miscellaneous,1,DEEP-SLEEP,C54948,SW-SMD-2,SW-SMD-2.54X6.0_2P
Miscellaneous,3,"ESPA,ESPB,NODEMCU",C124409,B2200S16PA120,CON16_1X16_U_FCI
Miscellaneous,1,F1,C182308,1A,FUSE SMD
Miscellaneous,1,I2C,C915913,TBLOCK-M4,TBLOCK-M4
Miscellaneous,3,"J3,J4,SALIDAS",C474882,TBLOCK-M3,TBLOCK-M3
Miscellaneous,1,JP1,C49257,SIP-3_2.5x7.62x2.54P,CONN-SIL3
Miscellaneous,1,L,C169389,100uh,SMD 12.5X12.5X5MM
Miscellaneous,1,L01,C84268,LED smd 0603,LEDC1608X60
Miscellaneous,1,LCD,C225501,CONN-H4,CONN-SIL4
Miscellaneous,1,PW,C2286,LED-RED,LEDC2012X120
