Designator,Mid X,Mid Y,Layer,Rotation
LCD,"19,03","77,3001",TOP,0
12V,"6,70001","63,598",TOP,90
3.3V,"6,70001","74,2942",TOP,90
RELAY1,"90,7001","35,1",TOP,0
RELAY2,"70,3999","35,1",TOP,0
RELAY3,"70,3999","19,4",TOP,0
U10,"83,8101","61,625",TOP,0
U18,"104,665","60,4964",TOP,90
L01,"15,4","47,6001",TOP,180
R25,"33,0365","77,7999",TOP,-180
R24,"94,2363","54,5",TOP,180
R23,"94,2363","57,3999",TOP,180
R21,"103,836","68,0001",TOP,0
R22,"100,664","68,0001",TOP,0
R84,"107,264","68,0999",TOP,0
D33,"94,4999","60,3001",TOP,180
Q01,"107,2","32,7",TOP,0
Q02,"107,2","37,7",TOP,0
Q03,"107,2","42,6999",TOP,0
U7,"26,2999","24,1475",TOP,180
U11,"50,9999","19,8279",TOP,90
F1,"14,0748","13,2",TOP,0
C21,"26,4","39,45",TOP,0
C5,"37,2999","37,5001",TOP,0
C22,"37,1","23,8",TOP,0
BAT1,"41,15","55,1",TOP,270
PW,"13,1","17,5",TOP,90
L,"51,75","34,9499",TOP,180
D29,"39,05","14,2",TOP,0
D28,"14,95","23,5",TOP,0
C23,"17,726","26,3685",TOP,0
C35,"33,0365","75,6001",TOP,180
R6,"63,8635","50,3999",TOP,0
R44,"67,2635","47,2999",TOP,0
R64,"67,1365","50,3999",TOP,180
TBLOCK-M2,"6,70001","17,1981",TOP,90
RST,"52,4901","5,36999",TOP,0
WI-FI-IO13,"65,4901","5,36999",TOP,0
LED-MQTT,"52,2018","76,0001",TOP,0
LED-WI-FI,"40,9981","76,0001",TOP,0
D01,"112,808","62,9999",TOP,0
D02,"112,892","58,8",TOP,0
D03,"112,992","54,6001",TOP,0
C34,"94,4253","63,0999",TOP,0
R13,"81,5637","53,2",TOP,0
R14,"77,8365","53,2",TOP,180
R15,"63,9364","47,2999",TOP,0
R16,"84,7636","53,2",TOP,180
R33,"65,5335","74,0801",TOP,0
R34,"62,4365","74,2",TOP,0
SALIDAS,"115,7","37,8",TOP,270
ESPA,"93,55","77,9",TOP,180
NODEMCU,"93,57","72,6001",TOP,180
JP1,"21,4","52,2",TOP,-90
U2,"64,995","61,8299",TOP,-90
ESPB,"93,55","50,2999",TOP,180
J3,"6,70001","48,1962",TOP,90
J4,"6,70001","31,7962",TOP,90
COM,"115,7","23,9019",TOP,270
DEEP-SLEEP,"78,47","4,59999",TOP,0
I2C-M2-A,"104,002","5,09999",TOP,0
I2C-M2-B,"93,4019","5,09999",TOP,0
R2,"59,3001","13,2636",TOP,90
R3,"15,4364","49,8",TOP,0
R5,"60,6364","50,3999",TOP,0
